date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:19:31	12178/12178	---M-Z	200	added ('OK')	application/javascript	date:Fri,%2013%20May%202022%2015:58:01%20GMT	https://www.cecilia-afia.fr/wp-content/themes/oceanwp/assets/js/scroll-effect.min.js?ver=3.2.2	/home/pepinhen/mennadou/gant-cecilia/httrack/Cecilia/www.cecilia-afia.fr/wp-content/themes/oceanwp/assets/js/scroll-effect.minee9a.js	(from https://www.cecilia-afia.fr/)
20:19:32	8989/8989	---M-Z	200	added ('OK')	application/javascript	date:Fri,%2013%20May%202022%2015:58:01%20GMT	https://www.cecilia-afia.fr/wp-content/themes/oceanwp/assets/js/scroll-top.min.js?ver=3.2.2	/home/pepinhen/mennadou/gant-cecilia/httrack/Cecilia/www.cecilia-afia.fr/wp-content/themes/oceanwp/assets/js/scroll-top.minee9a.js	(from https://www.cecilia-afia.fr/)
20:19:33	5181/5181	---M-Z	200	added ('OK')	application/javascript	date:Fri,%2013%20May%202022%2015:58:01%20GMT	https://www.cecilia-afia.fr/wp-content/themes/oceanwp/assets/js/select.min.js?ver=3.2.2	/home/pepinhen/mennadou/gant-cecilia/httrack/Cecilia/www.cecilia-afia.fr/wp-content/themes/oceanwp/assets/js/select.minee9a.js	(from https://www.cecilia-afia.fr/)
20:19:35	884/884	---MC-	200	added ('OK')	text/javascript	date:Mon,%2001%20Aug%202022%2018:19:34%20GMT	https://www.google.com/recaptcha/api.js?render=6LdNJOkfAAAAAKAw2bfI-PEYcRFK2L8VkaTsBN9N&ver=3.0	/home/pepinhen/mennadou/gant-cecilia/httrack/Cecilia/www.google.com/recaptcha/apib031.js	(from https://www.cecilia-afia.fr/)
20:19:35	999/999	---M-Z	200	added ('OK')	application/javascript	date:Fri,%2013%20May%202022%2015:13:15%20GMT	https://www.cecilia-afia.fr/wp-content/plugins/contact-form-7/modules/recaptcha/index.js?ver=5.5.6	/home/pepinhen/mennadou/gant-cecilia/httrack/Cecilia/www.cecilia-afia.fr/wp-content/plugins/contact-form-7/modules/recaptcha/index5406.js	(from https://www.cecilia-afia.fr/)
20:19:36	1131/1131	---M-Z	200	added ('OK')	application/javascript	date:Fri,%2013%20May%202022%2015:13:39%20GMT	https://www.cecilia-afia.fr/wp-content/plugins/ocean-extra/includes/widgets/js/mailchimp.min.js?ver=5.9.3	/home/pepinhen/mennadou/gant-cecilia/httrack/Cecilia/www.cecilia-afia.fr/wp-content/plugins/ocean-extra/includes/widgets/js/mailchimp.min7404.js	(from https://www.cecilia-afia.fr/)
20:19:37	4626/4626	---M-Z	200	added ('OK')	application/javascript	date:Fri,%2012%20Mar%202021%2014:01:27%20GMT	https://www.cecilia-afia.fr/wp-content/plugins/elementor/assets/js/webpack.runtime.min.js?ver=3.1.4	/home/pepinhen/mennadou/gant-cecilia/httrack/Cecilia/www.cecilia-afia.fr/wp-content/plugins/elementor/assets/js/webpack.runtime.minaeb9.js	(from https://www.cecilia-afia.fr/)
20:19:38	64914/64914	---M-Z	200	added ('OK')	application/javascript	date:Fri,%2012%20Mar%202021%2014:01:27%20GMT	https://www.cecilia-afia.fr/wp-content/plugins/elementor/assets/js/frontend-modules.min.js?ver=3.1.4	/home/pepinhen/mennadou/gant-cecilia/httrack/Cecilia/www.cecilia-afia.fr/wp-content/plugins/elementor/assets/js/frontend-modules.minaeb9.js	(from https://www.cecilia-afia.fr/)
20:19:39	20714/20714	---M-Z	200	added ('OK')	application/javascript	date:Fri,%2013%20May%202022%2015:12:24%20GMT	https://www.cecilia-afia.fr/wp-includes/js/jquery/ui/core.min.js?ver=1.13.1	/home/pepinhen/mennadou/gant-cecilia/httrack/Cecilia/www.cecilia-afia.fr/wp-includes/js/jquery/ui/core.min0028.js	(from https://www.cecilia-afia.fr/)
20:19:40	10863/10863	---M-Z	200	added ('OK')	application/javascript	date:Fri,%2012%20Mar%202021%2014:01:27%20GMT	https://www.cecilia-afia.fr/wp-content/plugins/elementor/assets/lib/dialog/dialog.min.js?ver=4.8.1	/home/pepinhen/mennadou/gant-cecilia/httrack/Cecilia/www.cecilia-afia.fr/wp-content/plugins/elementor/assets/lib/dialog/dialog.mina288.js	(from https://www.cecilia-afia.fr/)
20:19:41	12198/12198	---M-Z	200	added ('OK')	application/javascript	date:Fri,%2012%20Mar%202021%2014:01:27%20GMT	https://www.cecilia-afia.fr/wp-content/plugins/elementor/assets/lib/waypoints/waypoints.min.js?ver=4.0.2	/home/pepinhen/mennadou/gant-cecilia/httrack/Cecilia/www.cecilia-afia.fr/wp-content/plugins/elementor/assets/lib/waypoints/waypoints.min05da.js	(from https://www.cecilia-afia.fr/)
20:19:42	2578/2578	---M-Z	200	added ('OK')	application/javascript	date:Fri,%2012%20Mar%202021%2014:01:27%20GMT	https://www.cecilia-afia.fr/wp-content/plugins/elementor/assets/lib/share-link/share-link.min.js?ver=3.1.4	/home/pepinhen/mennadou/gant-cecilia/httrack/Cecilia/www.cecilia-afia.fr/wp-content/plugins/elementor/assets/lib/share-link/share-link.minaeb9.js	(from https://www.cecilia-afia.fr/)
20:19:44	139153/139153	---M-Z	200	added ('OK')	application/javascript	date:Fri,%2012%20Mar%202021%2014:01:27%20GMT	https://www.cecilia-afia.fr/wp-content/plugins/elementor/assets/lib/swiper/swiper.min.js?ver=5.3.6	/home/pepinhen/mennadou/gant-cecilia/httrack/Cecilia/www.cecilia-afia.fr/wp-content/plugins/elementor/assets/lib/swiper/swiper.min48f5.js	(from https://www.cecilia-afia.fr/)
20:19:44	81210/81210	---M-Z	200	added ('OK')	application/javascript	date:Fri,%2012%20Mar%202021%2014:01:27%20GMT	https://www.cecilia-afia.fr/wp-content/plugins/elementor/assets/js/frontend.min.js?ver=3.1.4	/home/pepinhen/mennadou/gant-cecilia/httrack/Cecilia/www.cecilia-afia.fr/wp-content/plugins/elementor/assets/js/frontend.minaeb9.js	(from https://www.cecilia-afia.fr/)
20:19:45	38029/38029	---M-Z	200	added ('OK')	application/javascript	date:Fri,%2012%20Mar%202021%2014:01:27%20GMT	https://www.cecilia-afia.fr/wp-content/plugins/elementor/assets/js/preloaded-elements-handlers.min.js?ver=3.1.4	/home/pepinhen/mennadou/gant-cecilia/httrack/Cecilia/www.cecilia-afia.fr/wp-content/plugins/elementor/assets/js/preloaded-elements-handlers.minaeb9.js	(from https://www.cecilia-afia.fr/)
20:19:47	25/25	---M--	200	added ('OK')	text/plain	etag:%227f564a4-19-3ef0a6a1b08c0%22	https://gmpg.org/robots.txt		(from https://www.cecilia-afia.fr/)
